[2026-04-10 13:49:25] Resume Processed | Score: 31.58%
[2026-04-24 13:52:12] Resume Processed | Score: 31.58%
[2026-04-24 13:57:37] Resume Processed | Score: 31.58%
[2026-04-24 13:58:07] Resume Processed | Score: 31.58%
[2026-04-24 14:02:00] Resume Processed | Score: 46.7%
[2026-04-25 14:55:40] Resume Processed | Score: 31.58%
[2026-04-25 15:08:58] Resume Processed | Score: 41.19%
[2026-04-25 15:12:43] Resume Processed | Score: 41.19%
[2026-04-25 15:15:04] Resume Processed | Score: 36.62%
[2026-04-25 15:19:00] Resume Processed | Score: 41.19%
[2026-04-25 15:22:21] Resume Processed | Score: 41.19%
[2026-04-25 15:30:01] Resume Processed | Score: 50.63%
[2026-04-25 15:31:14] Resume Processed | Score: 53.49%
[2026-04-25 15:33:48] Resume Processed | Score: 58.77%
[2026-04-25 15:47:35] Resume Processed | Score: 86.26%
[2026-04-25 15:48:37] Resume Processed | Score: 55.4%
[2026-04-26 13:08:03] Resume Processed | Score: 35.53%
[2026-04-26 13:08:35] Resume Processed | Score: 55.43%
[2026-04-26 13:09:59] Resume Processed | Score: 35.06%
[2026-04-26 13:19:29] Resume Processed | Score: 82.97%
[2026-04-26 13:25:01] Resume Processed | Score: 82.97%
[2026-04-26 13:26:50] Resume Processed | Score: 82.97%
[2026-04-26 13:57:25] Resume Processed | Score: 82.99%
[2026-04-26 13:57:49] Resume Processed | Score: 83.3%
[2026-04-26 14:02:06] Resume Processed | Score: 83.3%
[2026-04-26 14:02:51] Resume Processed | Score: 82.99%
[2026-04-26 14:05:47] Resume Processed | Score: 34.66%
[2026-04-26 18:59:30] Resume Processed | Score: 27.51%
[2026-04-26 19:20:46] Resume Processed | Score: 39.15%
[2026-04-26 19:24:40] Resume Processed | Score: 39.15%
[2026-04-26 19:26:12] Resume Processed | Score: 39.15%
[2026-04-26 19:29:43] Resume Processed | Score: 21.23%
[2026-04-26 19:37:19] Resume Processed | Score: 27.51%
[2026-04-26 19:44:11] Resume Processed | Score: 39.15%
[2026-04-26 19:46:02] Resume Processed | Score: 39.47%
[2026-04-26 20:19:59] Resume Processed | Score: 39.15%
[2026-04-26 20:21:53] Resume Processed | Score: 39.14%
[2026-04-28 09:01:40] Resume Processed | Score: 27.51%
[2026-04-28 09:05:00] Resume Processed | Score: 21.23%
[2026-04-28 09:07:48] Resume Processed | Score: 39.14%
[2026-04-28 09:13:13] Resume Processed | Score: 27.51%
[2026-04-28 09:15:40] Resume Processed | Score: 27.51%
[2026-04-28 09:18:29] Resume Processed | Score: 1.83%
[2026-04-28 09:24:36] Resume Processed | Score: 4.14%
[2026-04-28 09:27:41] Resume Processed | Score: 27.51%
[2026-04-28 09:29:10] Resume Processed | Score: 93.82%
[2026-04-28 10:03:36] Resume Processed | Score: 27.51%
[2026-04-28 10:05:21] Resume Processed | Score: 27.51%
[2026-04-28 10:09:40] Resume Processed | Score: 93.49%
[2026-04-28 10:12:07] Resume Processed | Score: 27.51%
[2026-05-03 13:23:24] Resume Processed | Score: 27.51%
[2026-05-03 13:32:43] Resume Processed | Score: 27.51%
